CaseId,CandidateId,ManifestCandidateId,CandidateKind,ProjectSlug,TargetTestName,TargetSha,CandidateSourceUrl,CandidateCommitHash,DesignId,StrictTerminalClassification,StrictEligibilityBasis,SelectionId,Relation,ExactOriginalPatch,ExactVsBackport,PatchRelativePath,PatchSha256,PatchBytes,OriginalPatchRelativePath,OriginalPatchSha256,OriginalPatchBytes,PinnedSourceRevision,PinnedSourceTargetPath,PinnedSourceBlobSha,PrebuildKey,PrebuildStatus,PaperModule,Modules,CriticalPoint,BarrierPoint,Threshold,Runtime,StaticPatchFiles,StaticCombinedPatternSha256,RosterStatus,DynamicLedger,DynamicLedgerStatus,DynamicLedgerTerminal,CaseDenominator,DesignDenominator,CandidateCaseDenominator,Static_shared_static_mutable_counter,Static_non_atomic_compound_increment,Static_unbounded_condition_wait,Static_busy_spin_yield,Static_missing_interrupt_path,Static_entry_reset_without_exit_cleanup,Static_entry_reset_can_erase_early_signal,Static_production_code_test_hook,Static_generic_helper_collision_surface,Static_absolute_diff_header,DynamicStatus,PatchTrack,PatchFiles,PatchApplied,Compiled,OrdinaryPlanned,OrdinaryPassed,OrdinaryFailed,AdverseAvailable,AdversePlanned,AdverseControlPassed,AdverseControlFailed,AdverseControlInjectionConfirmed,AdversePassed,AdverseFailed,AdverseInjectionConfirmed,AdverseComparison,CausalEffectivenessEstablished,CausalIneffectivenessWitness,FaultControlOutcome,FaultControlInjectionConfirmed,PatchedFaultOutcome,PatchedFaultInjectionConfirmed,SignalFaultClassification,DynamicUnboundedWaitWitness,FaultSpecificCausalityEstablished,CancellationSignalSuppressionConfirmed,CancellationInterruptInjectionConfirmed,CancellationOutcome,CancellationClassification,CancellationClassificationRaw,DynamicInterruptionFailureWitness,CancellationSpecificCausalityEstablished,NeighborOutcome,NeighborControlOutcome,NeighborComparison,NeighborRegressionWitness,CrossTestPeer,CrossTestReusedJvmOutcome,CrossTestReusedJvmControlOutcome,CrossTestReusedJvmComparison,CrossTestReusedJvmRegressionWitness,CrossTestParallelOutcome,CrossTestParallelControlOutcome,CrossTestParallelComparison,CrossTestParallelRegressionWitness,DynamicTableLedger,DynamicSourceRowJson,JoinDiscrepancies,JoinIdentityConsistent
FS004,C0030,C0030,local_commit,Alluxio/alluxio,tachyon.client.TachyonFSTest#deleteFileTest,78c063ae181279d81cbc0808a684864a8c8b311c,https://github.com/Alluxio/alluxio/commit/4b9c806bbce73db39e010a8bafd031c9b9749882,4b9c806bbce73db39e010a8bafd031c9b9749882,alluxio_4b9c806b_heartbeat_derived_bounded_sleep,verified_exact_independent_project_developer_repair,annotation_classification_and_flags_meet_strict_definition,C0030,semantic_backport_of_exact_commit_diff,false,semantic_backport_of_exact_commit_diff,runs/developer_comparator_validation_input/cases/FS004/patches/TachyonFSTest.java.patch,4edc23d8c93dbf0d24f24db4e27729213278e9fabf127f919b5820fbbac628b4,1581,runs/developer_comparator_validation_input/evidence/original_patches/C0030/TachyonFSTest.java.patch,8e3fd54ef53ff788b02d03bc6bbfed31dbb40d755ce65239454401ccb8525a0b,1776,78c063ae181279d81cbc0808a684864a8c8b311c,src/test/java/tachyon/client/TachyonFSTest.java,64479af63371734a6396510f106eded6fcfdae6a,Alluxio__alluxio__78c063ae1812__e6362fb318bb,success,M2,.,tachyon/thrift/MasterService$worker_heartbeat_args#7614~tachyon/thrift/MasterService$worker_heartbeat_args#7619[100],tachyon.client.TachyonFSTest#120,62,379.13,1,106c6cd9e2b482702d0e906743ca8f8f0cfe2db6ea683a4b215437d1536ab193,paper-confirmed-fixed,<PRIVATE_STUDY_ROOT>/runs/developer_comparator_validation_input/validations/FS004/validation.json,complete,true,6,3,6,0,0,0,0,0,0,0,0,0,0,complete,archived,1,1,1,10,10,0,1,5,0,5,5,0,1,1,patch-not-effective-under-reproduced-recorded-delay,0,1,,0,,0,unavailable-expected-one-generated-signal-found-0,0,0,0,0,,unavailable-signal-fault-configuration-unavailable,unavailable-signal-fault-configuration-unavailable,0,0,pass,,patched-pass,0,FS005,pass,,patched-pass,0,not-confirmed-executed,not-confirmed-executed,inconclusive-control-not-confirmed-executed,0,<PRIVATE_STUDY_ROOT>/runs/developer_comparator_validation_input/validations/FS004/validation.json,"{""AdverseAvailable"":""1"",""AdverseComparison"":""patch-not-effective-under-reproduced-recorded-delay"",""AdverseControlFailed"":""5"",""AdverseControlInjectionConfirmed"":""5"",""AdverseControlPassed"":""0"",""AdverseFailed"":""1"",""AdverseInjectionConfirmed"":""1"",""AdversePassed"":""0"",""AdversePlanned"":""5"",""CancellationClassification"":""unavailable-signal-fault-configuration-unavailable"",""CancellationClassificationRaw"":""unavailable-signal-fault-configuration-unavailable"",""CancellationInterruptInjectionConfirmed"":""0"",""CancellationOutcome"":"""",""CancellationSignalSuppressionConfirmed"":""0"",""CancellationSpecificCausalityEstablished"":""0"",""CaseId"":""FS004"",""CausalEffectivenessEstablished"":""0"",""CausalIneffectivenessWitness"":""1"",""Compiled"":""1"",""CrossTestParallelComparison"":""inconclusive-control-not-confirmed-executed"",""CrossTestParallelControlOutcome"":""not-confirmed-executed"",""CrossTestParallelOutcome"":""not-confirmed-executed"",""CrossTestParallelRegressionWitness"":""0"",""CrossTestPeer"":""FS005"",""CrossTestReusedJvmComparison"":""patched-pass"",""CrossTestReusedJvmControlOutcome"":"""",""CrossTestReusedJvmOutcome"":""pass"",""CrossTestReusedJvmRegressionWitness"":""0"",""DynamicInterruptionFailureWitness"":""0"",""DynamicUnboundedWaitWitness"":""0"",""FaultControlInjectionConfirmed"":""0"",""FaultControlOutcome"":"""",""FaultSpecificCausalityEstablished"":""0"",""Ledger"":""<PRIVATE_STUDY_ROOT>/runs/developer_comparator_validation_input/validations/FS004/validation.json"",""NeighborComparison"":""patched-pass"",""NeighborControlOutcome"":"""",""NeighborOutcome"":""pass"",""NeighborRegressionWitness"":""0"",""OrdinaryFailed"":""0"",""OrdinaryPassed"":""10"",""OrdinaryPlanned"":""10"",""PatchApplied"":""1"",""PatchFiles"":""1"",""PatchTrack"":""archived"",""PatchedFaultInjectionConfirmed"":""0"",""PatchedFaultOutcome"":"""",""RosterStatus"":""paper-confirmed-fixed"",""SignalFaultClassification"":""unavailable-expected-one-generated-signal-found-0"",""Status"":""complete""}",,true
FS005,C0030,C0030,local_commit,Alluxio/alluxio,tachyon.client.TachyonFSTest#lockBlockTest1,78c063ae181279d81cbc0808a684864a8c8b311c,https://github.com/Alluxio/alluxio/commit/4b9c806bbce73db39e010a8bafd031c9b9749882,4b9c806bbce73db39e010a8bafd031c9b9749882,alluxio_4b9c806b_heartbeat_derived_bounded_sleep,verified_exact_independent_project_developer_repair,annotation_classification_and_flags_meet_strict_definition,C0030,semantic_backport_of_exact_commit_diff,false,semantic_backport_of_exact_commit_diff,runs/developer_comparator_validation_input/cases/FS005/patches/TachyonFSTest.java.patch,4edc23d8c93dbf0d24f24db4e27729213278e9fabf127f919b5820fbbac628b4,1581,runs/developer_comparator_validation_input/evidence/original_patches/C0030/TachyonFSTest.java.patch,8e3fd54ef53ff788b02d03bc6bbfed31dbb40d755ce65239454401ccb8525a0b,1776,78c063ae181279d81cbc0808a684864a8c8b311c,src/test/java/tachyon/client/TachyonFSTest.java,64479af63371734a6396510f106eded6fcfdae6a,Alluxio__alluxio__78c063ae1812__e6362fb318bb,success,M2,.,tachyon/Worker#76~tachyon/Worker#82[800];tachyon/Worker#88~tachyon/Worker#90[800];tachyon/Worker#104~tachyon/Worker#104[800];tachyon/Worker#109~tachyon/Worker#109[800];tachyon/Worker#127~tachyon/Worker#127[800];,tachyon.client.TachyonFSTest#236,1,27.57,1,106c6cd9e2b482702d0e906743ca8f8f0cfe2db6ea683a4b215437d1536ab193,paper-confirmed-fixed,<PRIVATE_STUDY_ROOT>/runs/developer_comparator_validation_input/validations/FS005/validation.json,complete,true,6,3,6,0,0,0,0,0,0,0,0,0,0,complete,archived,1,1,1,10,10,0,1,5,0,5,5,5,0,5,patch-effective-under-reproduced-recorded-delay,1,0,,0,,0,unavailable-expected-one-generated-signal-found-0,0,0,0,0,,unavailable-signal-fault-configuration-unavailable,unavailable-signal-fault-configuration-unavailable,0,0,pass,,patched-pass,0,FS004,pass,,patched-pass,0,not-confirmed-executed,not-confirmed-executed,inconclusive-control-not-confirmed-executed,0,<PRIVATE_STUDY_ROOT>/runs/developer_comparator_validation_input/validations/FS005/validation.json,"{""AdverseAvailable"":""1"",""AdverseComparison"":""patch-effective-under-reproduced-recorded-delay"",""AdverseControlFailed"":""5"",""AdverseControlInjectionConfirmed"":""5"",""AdverseControlPassed"":""0"",""AdverseFailed"":""0"",""AdverseInjectionConfirmed"":""5"",""AdversePassed"":""5"",""AdversePlanned"":""5"",""CancellationClassification"":""unavailable-signal-fault-configuration-unavailable"",""CancellationClassificationRaw"":""unavailable-signal-fault-configuration-unavailable"",""CancellationInterruptInjectionConfirmed"":""0"",""CancellationOutcome"":"""",""CancellationSignalSuppressionConfirmed"":""0"",""CancellationSpecificCausalityEstablished"":""0"",""CaseId"":""FS005"",""CausalEffectivenessEstablished"":""1"",""CausalIneffectivenessWitness"":""0"",""Compiled"":""1"",""CrossTestParallelComparison"":""inconclusive-control-not-confirmed-executed"",""CrossTestParallelControlOutcome"":""not-confirmed-executed"",""CrossTestParallelOutcome"":""not-confirmed-executed"",""CrossTestParallelRegressionWitness"":""0"",""CrossTestPeer"":""FS004"",""CrossTestReusedJvmComparison"":""patched-pass"",""CrossTestReusedJvmControlOutcome"":"""",""CrossTestReusedJvmOutcome"":""pass"",""CrossTestReusedJvmRegressionWitness"":""0"",""DynamicInterruptionFailureWitness"":""0"",""DynamicUnboundedWaitWitness"":""0"",""FaultControlInjectionConfirmed"":""0"",""FaultControlOutcome"":"""",""FaultSpecificCausalityEstablished"":""0"",""Ledger"":""<PRIVATE_STUDY_ROOT>/runs/developer_comparator_validation_input/validations/FS005/validation.json"",""NeighborComparison"":""patched-pass"",""NeighborControlOutcome"":"""",""NeighborOutcome"":""pass"",""NeighborRegressionWitness"":""0"",""OrdinaryFailed"":""0"",""OrdinaryPassed"":""10"",""OrdinaryPlanned"":""10"",""PatchApplied"":""1"",""PatchFiles"":""1"",""PatchTrack"":""archived"",""PatchedFaultInjectionConfirmed"":""0"",""PatchedFaultOutcome"":"""",""RosterStatus"":""paper-confirmed-fixed"",""SignalFaultClassification"":""unavailable-expected-one-generated-signal-found-0"",""Status"":""complete""}",,true
FS006,C0030,C0030,local_commit,Alluxio/alluxio,tachyon.client.TachyonFSTest#unlockBlockTest1,78c063ae181279d81cbc0808a684864a8c8b311c,https://github.com/Alluxio/alluxio/commit/4b9c806bbce73db39e010a8bafd031c9b9749882,4b9c806bbce73db39e010a8bafd031c9b9749882,alluxio_4b9c806b_heartbeat_derived_bounded_sleep,verified_exact_independent_project_developer_repair,annotation_classification_and_flags_meet_strict_definition,C0030,semantic_backport_of_exact_commit_diff,false,semantic_backport_of_exact_commit_diff,runs/developer_comparator_validation_input/cases/FS006/patches/TachyonFSTest.java.patch,4edc23d8c93dbf0d24f24db4e27729213278e9fabf127f919b5820fbbac628b4,1581,runs/developer_comparator_validation_input/evidence/original_patches/C0030/TachyonFSTest.java.patch,8e3fd54ef53ff788b02d03bc6bbfed31dbb40d755ce65239454401ccb8525a0b,1776,78c063ae181279d81cbc0808a684864a8c8b311c,src/test/java/tachyon/client/TachyonFSTest.java,64479af63371734a6396510f106eded6fcfdae6a,Alluxio__alluxio__78c063ae1812__e6362fb318bb,success,M2,.,tachyon/Worker#76~tachyon/Worker#82[800];tachyon/Worker#88~tachyon/Worker#90[800];tachyon/Worker#104~tachyon/Worker#104[800];tachyon/Worker#109~tachyon/Worker#109[800];tachyon/Worker#127~tachyon/Worker#127[800];,tachyon.client.TachyonFSTest#349,1,27.40,1,106c6cd9e2b482702d0e906743ca8f8f0cfe2db6ea683a4b215437d1536ab193,paper-confirmed-fixed,<PRIVATE_STUDY_ROOT>/runs/developer_comparator_validation_input/validations/FS006/validation.json,complete,true,6,3,6,0,0,0,0,0,0,0,0,0,0,complete,archived,1,1,1,10,10,0,1,5,0,5,5,5,0,5,patch-effective-under-reproduced-recorded-delay,1,0,,0,,0,unavailable-expected-one-generated-signal-found-0,0,0,0,0,,unavailable-signal-fault-configuration-unavailable,unavailable-signal-fault-configuration-unavailable,0,0,pass,,patched-pass,0,FS004,pass,,patched-pass,0,not-confirmed-executed,not-confirmed-executed,inconclusive-control-not-confirmed-executed,0,<PRIVATE_STUDY_ROOT>/runs/developer_comparator_validation_input/validations/FS006/validation.json,"{""AdverseAvailable"":""1"",""AdverseComparison"":""patch-effective-under-reproduced-recorded-delay"",""AdverseControlFailed"":""5"",""AdverseControlInjectionConfirmed"":""5"",""AdverseControlPassed"":""0"",""AdverseFailed"":""0"",""AdverseInjectionConfirmed"":""5"",""AdversePassed"":""5"",""AdversePlanned"":""5"",""CancellationClassification"":""unavailable-signal-fault-configuration-unavailable"",""CancellationClassificationRaw"":""unavailable-signal-fault-configuration-unavailable"",""CancellationInterruptInjectionConfirmed"":""0"",""CancellationOutcome"":"""",""CancellationSignalSuppressionConfirmed"":""0"",""CancellationSpecificCausalityEstablished"":""0"",""CaseId"":""FS006"",""CausalEffectivenessEstablished"":""1"",""CausalIneffectivenessWitness"":""0"",""Compiled"":""1"",""CrossTestParallelComparison"":""inconclusive-control-not-confirmed-executed"",""CrossTestParallelControlOutcome"":""not-confirmed-executed"",""CrossTestParallelOutcome"":""not-confirmed-executed"",""CrossTestParallelRegressionWitness"":""0"",""CrossTestPeer"":""FS004"",""CrossTestReusedJvmComparison"":""patched-pass"",""CrossTestReusedJvmControlOutcome"":"""",""CrossTestReusedJvmOutcome"":""pass"",""CrossTestReusedJvmRegressionWitness"":""0"",""DynamicInterruptionFailureWitness"":""0"",""DynamicUnboundedWaitWitness"":""0"",""FaultControlInjectionConfirmed"":""0"",""FaultControlOutcome"":"""",""FaultSpecificCausalityEstablished"":""0"",""Ledger"":""<PRIVATE_STUDY_ROOT>/runs/developer_comparator_validation_input/validations/FS006/validation.json"",""NeighborComparison"":""patched-pass"",""NeighborControlOutcome"":"""",""NeighborOutcome"":""pass"",""NeighborRegressionWitness"":""0"",""OrdinaryFailed"":""0"",""OrdinaryPassed"":""10"",""OrdinaryPlanned"":""10"",""PatchApplied"":""1"",""PatchFiles"":""1"",""PatchTrack"":""archived"",""PatchedFaultInjectionConfirmed"":""0"",""PatchedFaultOutcome"":"""",""RosterStatus"":""paper-confirmed-fixed"",""SignalFaultClassification"":""unavailable-expected-one-generated-signal-found-0"",""Status"":""complete""}",,true
FS007,C0030,C0030,local_commit,Alluxio/alluxio,tachyon.client.TachyonFSTest#unlockBlockTest3,78c063ae181279d81cbc0808a684864a8c8b311c,https://github.com/Alluxio/alluxio/commit/4b9c806bbce73db39e010a8bafd031c9b9749882,4b9c806bbce73db39e010a8bafd031c9b9749882,alluxio_4b9c806b_heartbeat_derived_bounded_sleep,verified_exact_independent_project_developer_repair,annotation_classification_and_flags_meet_strict_definition,C0030,semantic_backport_of_exact_commit_diff,false,semantic_backport_of_exact_commit_diff,runs/developer_comparator_validation_input/cases/FS007/patches/TachyonFSTest.java.patch,4edc23d8c93dbf0d24f24db4e27729213278e9fabf127f919b5820fbbac628b4,1581,runs/developer_comparator_validation_input/evidence/original_patches/C0030/TachyonFSTest.java.patch,8e3fd54ef53ff788b02d03bc6bbfed31dbb40d755ce65239454401ccb8525a0b,1776,78c063ae181279d81cbc0808a684864a8c8b311c,src/test/java/tachyon/client/TachyonFSTest.java,64479af63371734a6396510f106eded6fcfdae6a,Alluxio__alluxio__78c063ae1812__e6362fb318bb,success,M2,.,tachyon/Worker#76~tachyon/Worker#82[1600];tachyon/Worker#88~tachyon/Worker#90[1600];tachyon/Worker#104~tachyon/Worker#104[1600];tachyon/Worker#109~tachyon/Worker#109[1600];tachyon/Worker#127~tachyon/Worker#127[1600];,tachyon.client.TachyonFSTest#412,1,30.07,1,106c6cd9e2b482702d0e906743ca8f8f0cfe2db6ea683a4b215437d1536ab193,paper-confirmed-fixed,<PRIVATE_STUDY_ROOT>/runs/developer_comparator_validation_input/validations/FS007/validation.json,complete,true,6,3,6,0,0,0,0,0,0,0,0,0,0,complete,archived,1,1,1,10,10,0,1,5,0,5,5,5,0,5,patch-effective-under-reproduced-recorded-delay,1,0,,0,,0,unavailable-expected-one-generated-signal-found-0,0,0,0,0,,unavailable-signal-fault-configuration-unavailable,unavailable-signal-fault-configuration-unavailable,0,0,pass,,patched-pass,0,FS004,pass,,patched-pass,0,not-confirmed-executed,not-confirmed-executed,inconclusive-control-not-confirmed-executed,0,<PRIVATE_STUDY_ROOT>/runs/developer_comparator_validation_input/validations/FS007/validation.json,"{""AdverseAvailable"":""1"",""AdverseComparison"":""patch-effective-under-reproduced-recorded-delay"",""AdverseControlFailed"":""5"",""AdverseControlInjectionConfirmed"":""5"",""AdverseControlPassed"":""0"",""AdverseFailed"":""0"",""AdverseInjectionConfirmed"":""5"",""AdversePassed"":""5"",""AdversePlanned"":""5"",""CancellationClassification"":""unavailable-signal-fault-configuration-unavailable"",""CancellationClassificationRaw"":""unavailable-signal-fault-configuration-unavailable"",""CancellationInterruptInjectionConfirmed"":""0"",""CancellationOutcome"":"""",""CancellationSignalSuppressionConfirmed"":""0"",""CancellationSpecificCausalityEstablished"":""0"",""CaseId"":""FS007"",""CausalEffectivenessEstablished"":""1"",""CausalIneffectivenessWitness"":""0"",""Compiled"":""1"",""CrossTestParallelComparison"":""inconclusive-control-not-confirmed-executed"",""CrossTestParallelControlOutcome"":""not-confirmed-executed"",""CrossTestParallelOutcome"":""not-confirmed-executed"",""CrossTestParallelRegressionWitness"":""0"",""CrossTestPeer"":""FS004"",""CrossTestReusedJvmComparison"":""patched-pass"",""CrossTestReusedJvmControlOutcome"":"""",""CrossTestReusedJvmOutcome"":""pass"",""CrossTestReusedJvmRegressionWitness"":""0"",""DynamicInterruptionFailureWitness"":""0"",""DynamicUnboundedWaitWitness"":""0"",""FaultControlInjectionConfirmed"":""0"",""FaultControlOutcome"":"""",""FaultSpecificCausalityEstablished"":""0"",""Ledger"":""<PRIVATE_STUDY_ROOT>/runs/developer_comparator_validation_input/validations/FS007/validation.json"",""NeighborComparison"":""patched-pass"",""NeighborControlOutcome"":"""",""NeighborOutcome"":""pass"",""NeighborRegressionWitness"":""0"",""OrdinaryFailed"":""0"",""OrdinaryPassed"":""10"",""OrdinaryPlanned"":""10"",""PatchApplied"":""1"",""PatchFiles"":""1"",""PatchTrack"":""archived"",""PatchedFaultInjectionConfirmed"":""0"",""PatchedFaultOutcome"":"""",""RosterStatus"":""paper-confirmed-fixed"",""SignalFaultClassification"":""unavailable-expected-one-generated-signal-found-0"",""Status"":""complete""}",,true
FS014,C0042,PR1450,local_commit,TooTallNate/Java-WebSocket,org.java_websocket.issues.Issue677Test#testIssue,fa3909c391195178ccf5a92d4ac342a30ae247c8,https://github.com/TooTallNate/Java-WebSocket/commit/1ed042e60a0b455acbc1207c414eb7ce8736e45a,1ed042e60a0b455acbc1207c414eb7ce8736e45a,java_websocket_pr1450_bounded_state_poll,verified_exact_independent_project_developer_repair,annotation_classification_and_flags_meet_strict_definition,PR1450-Issue677-bounded-loop,semantic_backport,false,semantic_backport,runs/developer_comparator_validation_input/cases/FS014/patches/Issue677Test.java.patch,187257c2eb7251d66f582dea32460c76f83c0a601c98356bf9e78ff8435a72b7,761,,,,fa3909c391195178ccf5a92d4ac342a30ae247c8,src/test/java/org/java_websocket/issues/Issue677Test.java,f57ba906bb8dfc32cc5d397c3a855415a0dbd4f5,TooTallNate__Java-WebSocket__fa3909c39119__96853b2cc990,success,M3,.,org/java_websocket/WebSocketImpl#513~org/java_websocket/WebSocketImpl#515[100],org.java_websocket.issues.Issue677Test#121,1,7.20,1,92687738ab36bbd79a9dae12b2e859a3637a01aebbb263a02e1100b739080459,paper-confirmed-fixed,<PRIVATE_STUDY_ROOT>/runs/developer_comparator_validation_input/validations/FS014/validation.json,complete,true,6,3,6,0,0,0,0,0,0,0,0,0,0,complete,archived,1,1,1,10,10,0,1,5,0,5,5,0,1,1,patch-not-effective-under-reproduced-recorded-delay,0,1,,0,,0,unavailable-expected-one-generated-signal-found-0,0,0,0,0,,unavailable-signal-fault-configuration-unavailable,unavailable-signal-fault-configuration-unavailable,0,0,pass,,patched-pass,0,,,,unavailable-no-peer,0,,,unavailable-no-peer,0,<PRIVATE_STUDY_ROOT>/runs/developer_comparator_validation_input/validations/FS014/validation.json,"{""AdverseAvailable"":""1"",""AdverseComparison"":""patch-not-effective-under-reproduced-recorded-delay"",""AdverseControlFailed"":""5"",""AdverseControlInjectionConfirmed"":""5"",""AdverseControlPassed"":""0"",""AdverseFailed"":""1"",""AdverseInjectionConfirmed"":""1"",""AdversePassed"":""0"",""AdversePlanned"":""5"",""CancellationClassification"":""unavailable-signal-fault-configuration-unavailable"",""CancellationClassificationRaw"":""unavailable-signal-fault-configuration-unavailable"",""CancellationInterruptInjectionConfirmed"":""0"",""CancellationOutcome"":"""",""CancellationSignalSuppressionConfirmed"":""0"",""CancellationSpecificCausalityEstablished"":""0"",""CaseId"":""FS014"",""CausalEffectivenessEstablished"":""0"",""CausalIneffectivenessWitness"":""1"",""Compiled"":""1"",""CrossTestParallelComparison"":""unavailable-no-peer"",""CrossTestParallelControlOutcome"":"""",""CrossTestParallelOutcome"":"""",""CrossTestParallelRegressionWitness"":""0"",""CrossTestPeer"":"""",""CrossTestReusedJvmComparison"":""unavailable-no-peer"",""CrossTestReusedJvmControlOutcome"":"""",""CrossTestReusedJvmOutcome"":"""",""CrossTestReusedJvmRegressionWitness"":""0"",""DynamicInterruptionFailureWitness"":""0"",""DynamicUnboundedWaitWitness"":""0"",""FaultControlInjectionConfirmed"":""0"",""FaultControlOutcome"":"""",""FaultSpecificCausalityEstablished"":""0"",""Ledger"":""<PRIVATE_STUDY_ROOT>/runs/developer_comparator_validation_input/validations/FS014/validation.json"",""NeighborComparison"":""patched-pass"",""NeighborControlOutcome"":"""",""NeighborOutcome"":""pass"",""NeighborRegressionWitness"":""0"",""OrdinaryFailed"":""0"",""OrdinaryPassed"":""10"",""OrdinaryPlanned"":""10"",""PatchApplied"":""1"",""PatchFiles"":""1"",""PatchTrack"":""archived"",""PatchedFaultInjectionConfirmed"":""0"",""PatchedFaultOutcome"":"""",""RosterStatus"":""paper-confirmed-fixed"",""SignalFaultClassification"":""unavailable-expected-one-generated-signal-found-0"",""Status"":""complete""}",,true
FS020,C0060,C0060,local_commit,apache/httpcore,org.apache.http.pool.TestConnPool#testLeaseTimeout,49247d208bde47f652812493e1d3576e136b8eb8,https://github.com/apache/httpcore/commit/66d43a02c1468f09d80f30405ec88e8a70b47dcb,66d43a02c1468f09d80f30405ec88e8a70b47dcb,httpcore_66d43a02_ordered_bounded_join,verified_exact_independent_project_developer_repair,annotation_classification_and_flags_meet_strict_definition,C0060,exact_commit_diff,true,exact_original_patch,runs/developer_comparator_validation_input/cases/FS020/patches/TestConnPool.java.patch,593fe0a6a7d1947bc943b2905584a49c7a2abb4868444039f2f23116dfc75fd9,2380,,,,49247d208bde47f652812493e1d3576e136b8eb8,httpcore/src/test/java/org/apache/http/pool/TestConnPool.java,77365c8fa2132e1296a3265e8c2833217e38532d,apache__httpcore__49247d208bde__7329d945e94c,success,M12,httpcore,org/apache/http/pool/AbstractConnPool#172~org/apache/http/pool/AbstractConnPool#177[12800];org/apache/http/pool/AbstractConnPool#184~org/apache/http/pool/AbstractConnPool#184[12800];org/apache/http/pool/AbstractConnPool#203~org/apache/http/pool/AbstractConnPool#208[12800];org/apache/http/pool/AbstractConnPool#218~org/apache/http/pool/AbstractConnPool#222[12800];org/apache/http/pool/AbstractConnPool#231~org/apache/http/pool/AbstractConnPool#259[12800];,org.apache.http.pool.TestConnPool#578,1,41.90,1,51279b7d435082f8e9c5543bef94ad4951fa161a7d0d6543d9020fb4cb25258e,paper-confirmed-fixed,<PRIVATE_STUDY_ROOT>/runs/developer_comparator_validation_input/validations/FS020/validation.json,complete,true,6,3,6,0,0,0,0,0,0,0,0,0,0,complete,archived,1,1,1,10,10,0,1,5,0,5,5,0,1,1,patch-not-effective-under-reproduced-recorded-delay,0,1,,0,,0,unavailable-expected-one-generated-signal-found-0,0,0,0,0,,unavailable-signal-fault-configuration-unavailable,unavailable-signal-fault-configuration-unavailable,0,0,pass,,patched-pass,0,,,,unavailable-no-peer,0,,,unavailable-no-peer,0,<PRIVATE_STUDY_ROOT>/runs/developer_comparator_validation_input/validations/FS020/validation.json,"{""AdverseAvailable"":""1"",""AdverseComparison"":""patch-not-effective-under-reproduced-recorded-delay"",""AdverseControlFailed"":""5"",""AdverseControlInjectionConfirmed"":""5"",""AdverseControlPassed"":""0"",""AdverseFailed"":""1"",""AdverseInjectionConfirmed"":""1"",""AdversePassed"":""0"",""AdversePlanned"":""5"",""CancellationClassification"":""unavailable-signal-fault-configuration-unavailable"",""CancellationClassificationRaw"":""unavailable-signal-fault-configuration-unavailable"",""CancellationInterruptInjectionConfirmed"":""0"",""CancellationOutcome"":"""",""CancellationSignalSuppressionConfirmed"":""0"",""CancellationSpecificCausalityEstablished"":""0"",""CaseId"":""FS020"",""CausalEffectivenessEstablished"":""0"",""CausalIneffectivenessWitness"":""1"",""Compiled"":""1"",""CrossTestParallelComparison"":""unavailable-no-peer"",""CrossTestParallelControlOutcome"":"""",""CrossTestParallelOutcome"":"""",""CrossTestParallelRegressionWitness"":""0"",""CrossTestPeer"":"""",""CrossTestReusedJvmComparison"":""unavailable-no-peer"",""CrossTestReusedJvmControlOutcome"":"""",""CrossTestReusedJvmOutcome"":"""",""CrossTestReusedJvmRegressionWitness"":""0"",""DynamicInterruptionFailureWitness"":""0"",""DynamicUnboundedWaitWitness"":""0"",""FaultControlInjectionConfirmed"":""0"",""FaultControlOutcome"":"""",""FaultSpecificCausalityEstablished"":""0"",""Ledger"":""<PRIVATE_STUDY_ROOT>/runs/developer_comparator_validation_input/validations/FS020/validation.json"",""NeighborComparison"":""patched-pass"",""NeighborControlOutcome"":"""",""NeighborOutcome"":""pass"",""NeighborRegressionWitness"":""0"",""OrdinaryFailed"":""0"",""OrdinaryPassed"":""10"",""OrdinaryPlanned"":""10"",""PatchApplied"":""1"",""PatchFiles"":""1"",""PatchTrack"":""archived"",""PatchedFaultInjectionConfirmed"":""0"",""PatchedFaultOutcome"":"""",""RosterStatus"":""paper-confirmed-fixed"",""SignalFaultClassification"":""unavailable-expected-one-generated-signal-found-0"",""Status"":""complete""}",,true
