CaseId,Provenance,Project,SourceRevision,TestName,DesignId,Relation,SourceUrl,SourceCommit,PublishedPatch,OriginalBytes,OriginalSha256,PublishedBytes,PublishedSha256,Sanitization
FS051,author-submitted FlakeSync repair,elasticjob/elastic-job-lite,a7042cf4872d784d619e4560cdfa0f92b0311965,org.apache.shardingsphere.elasticjob.infra.concurrent.ElasticJobExecutorServiceTest#assertCreateExecutorService,,,,,patches/author/FS051/01-ElasticJobExecutorServiceTest.java.patch,1509,344eec5b8f11fd0b41c34d538213ceec78fa203d537e0ca937da33b152e66544,1509,344eec5b8f11fd0b41c34d538213ceec78fa203d537e0ca937da33b152e66544,none
FS054,author-submitted FlakeSync repair,fluent/fluent-logger-java,2e5fdf2dbed59cc5af88442ceae6cbe72f321060,org.fluentd.logger.TestFluentLogger#testInMultiThreading,,,,,patches/author/FS054/01-TestFluentLogger.java.patch,976,9d46bcefd7d7f0a60f9a95627a3ed0bed9affc4fa29a6c2be224e17ee516df06,976,9d46bcefd7d7f0a60f9a95627a3ed0bed9affc4fa29a6c2be224e17ee516df06,none
FS004,developer-written comparator,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,tachyon.client.TachyonFSTest#deleteFileTest,alluxio_4b9c806b_heartbeat_derived_bounded_sleep,semantic_backport_of_exact_commit_diff,https://github.com/Alluxio/alluxio/commit/4b9c806bbce73db39e010a8bafd031c9b9749882,4b9c806bbce73db39e010a8bafd031c9b9749882,patches/developer/FS004/TachyonFSTest.java.patch,1581,4edc23d8c93dbf0d24f24db4e27729213278e9fabf127f919b5820fbbac628b4,1581,4edc23d8c93dbf0d24f24db4e27729213278e9fabf127f919b5820fbbac628b4,none
FS005,developer-written comparator,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,tachyon.client.TachyonFSTest#lockBlockTest1,alluxio_4b9c806b_heartbeat_derived_bounded_sleep,semantic_backport_of_exact_commit_diff,https://github.com/Alluxio/alluxio/commit/4b9c806bbce73db39e010a8bafd031c9b9749882,4b9c806bbce73db39e010a8bafd031c9b9749882,patches/developer/FS005/TachyonFSTest.java.patch,1581,4edc23d8c93dbf0d24f24db4e27729213278e9fabf127f919b5820fbbac628b4,1581,4edc23d8c93dbf0d24f24db4e27729213278e9fabf127f919b5820fbbac628b4,none
FS006,developer-written comparator,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,tachyon.client.TachyonFSTest#unlockBlockTest1,alluxio_4b9c806b_heartbeat_derived_bounded_sleep,semantic_backport_of_exact_commit_diff,https://github.com/Alluxio/alluxio/commit/4b9c806bbce73db39e010a8bafd031c9b9749882,4b9c806bbce73db39e010a8bafd031c9b9749882,patches/developer/FS006/TachyonFSTest.java.patch,1581,4edc23d8c93dbf0d24f24db4e27729213278e9fabf127f919b5820fbbac628b4,1581,4edc23d8c93dbf0d24f24db4e27729213278e9fabf127f919b5820fbbac628b4,none
FS007,developer-written comparator,Alluxio/alluxio,78c063ae181279d81cbc0808a684864a8c8b311c,tachyon.client.TachyonFSTest#unlockBlockTest3,alluxio_4b9c806b_heartbeat_derived_bounded_sleep,semantic_backport_of_exact_commit_diff,https://github.com/Alluxio/alluxio/commit/4b9c806bbce73db39e010a8bafd031c9b9749882,4b9c806bbce73db39e010a8bafd031c9b9749882,patches/developer/FS007/TachyonFSTest.java.patch,1581,4edc23d8c93dbf0d24f24db4e27729213278e9fabf127f919b5820fbbac628b4,1581,4edc23d8c93dbf0d24f24db4e27729213278e9fabf127f919b5820fbbac628b4,none
FS014,developer-written comparator,TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,org.java_websocket.issues.Issue677Test#testIssue,java_websocket_pr1450_bounded_state_poll,semantic_backport,https://github.com/TooTallNate/Java-WebSocket/commit/1ed042e60a0b455acbc1207c414eb7ce8736e45a,1ed042e60a0b455acbc1207c414eb7ce8736e45a,patches/developer/FS014/Issue677Test.java.patch,761,187257c2eb7251d66f582dea32460c76f83c0a601c98356bf9e78ff8435a72b7,761,187257c2eb7251d66f582dea32460c76f83c0a601c98356bf9e78ff8435a72b7,none
FS020,developer-written comparator,apache/httpcore,49247d208bde47f652812493e1d3576e136b8eb8,org.apache.http.pool.TestConnPool#testLeaseTimeout,httpcore_66d43a02_ordered_bounded_join,exact_commit_diff,https://github.com/apache/httpcore/commit/66d43a02c1468f09d80f30405ec88e8a70b47dcb,66d43a02c1468f09d80f30405ec88e8a70b47dcb,patches/developer/FS020/TestConnPool.java.patch,2380,593fe0a6a7d1947bc943b2905584a49c7a2abb4868444039f2f23116dfc75fd9,2380,593fe0a6a7d1947bc943b2905584a49c7a2abb4868444039f2f23116dfc75fd9,none
